edition,issue,volume,date-pub,title,ocr,id
,19813,,"March 17, 1848",The debate last night was upon the first of Lord,85.97,0FFO-1848-MAR17-004-004
,21551,,"October 5, 1853",History Of The Greek Revolution.,81.41,0FFO-1853-OCT05-005-002
,17801,,"October 14, 1841",On The Revolutions Of France And England.,85.64,0FFO-1841-OCT14-006-003
,23508,,"January 5, 1860",Military Organization.,84.37,0FFO-1860-JAN05-007-005
,18398,,"September 11, 1843",The Counter-Revolution In Spain.,83.61,0FFO-1843-SEP11-005-004
,19779,,"February 7, 1848","London, Monday, February 7, 1848.",91.92,0FFO-1848-FEB07-004-002
,19900,,"June 27, 1848",It is the ambition of France to be the world's,85.77,0FFO-1848-JUN27-005-004
,20926,,"October 7, 1851","London, Tuesday, October 7, 1851.",91.95,0FFO-1851-OCT07-004-002
,17472,,"September 25, 1840",Express From Falmouth.,92.25,0FFO-1840-SEP25-005-008
,20789,,"April 30, 1851",The Rotation Of The Earth.,86.48,0FFO-1851-APR30-003-011
,19886,,"June 10, 1848",One effect of the French Revolution has been to,85.73,0FFO-1848-JUN10-006-001
,23633,,"May 30, 1860","Mr. BRIGHT, in speaking the other day of the",84.23,0FFO-1860-MAY30-009-001
,19838,,"April 15, 1848",The Parisians are exceedingly concerned that we,92.57,0FFO-1848-APR15-004-005
,18460,,"November 21, 1843",Russian Commerce And Policy.,84.71,0FFO-1843-NOV21-003-007
,18507,,"January 16, 1844",To The Editor Of The Times.,82.18,0FFO-1844-JAN16-005-015
,19995,,"October 16, 1848","London, Monday, October 16, 1848",91.47,0FFO-1848-OCT16-004-002
,23508,,"January 5, 1860",Military Organization.,83.36,0FFO-1860-JAN05-008-001
,19083,,"November 17, 1845",Affairs Of Prussia.,83.89,0FFO-1845-NOV17-005-009
,18388,,"August 30, 1843",The Revolution In Spain.,87.02,0FFO-1843-AUG30-004-010
,22438,,"August 5, 1856",The Last Spanish Revolution.,84.98,0FFO-1856-AUG05-008-001
,18390,,"September 1, 1843",The Revolution In Spain.,84.11,0FFO-1843-SEP01-003-005
,19380,,"October 29, 1846",The Revolution In Portugal.,88.85,0FFO-1846-OCT29-004-009
,18846,,"February 13, 1845",The Revolution In Mexico.,82.93,0FFO-1845-FEB13-006-001
,21827,,"August 23, 1854",Spain And The United States.,84.98,0FFO-1854-AUG23-006-008
,22820,,"October 24, 1857",Metropolitan Industrial Reformatory,83.34,0FFO-1857-OCT24-010-009
,19952,,"August 26, 1848",Russia.,91.03,0FFO-1848-AUG26-005-005
,20175,,"May 14, 1849","London, Monday, May 14, 1849.",84.36,0FFO-1849-MAY14-004-002
,17747,,"August 12, 1841",The policy of Great Britain in the affairs of Spain,88.02,0FFO-1841-AUG12-004-003
,20904,,"September 11, 1851","London, Thursday, September 11, 1851.",94.03,0FFO-1851-SEP11-004-002
,20975,,"December 3, 1851","London, Wednesday, December 3, 1851.",91.83,0FFO-1851-DEC03-004-004
,17698,,"June 16, 1841",It has been observed how much more kindly-,80.95,0FFO-1841-JUN16-004-005
,20782,,"April 22, 1851","London, Tuesday, April 22, 1851.",94.03,0FFO-1851-APR22-004-002
,19993,,"October 13, 1848","London, Friday, October 13, 1848.",89.51,0FFO-1848-OCT13-004-002
,20076,,"January 18, 1849","London, Thursday, January 18, 1849.",90.48,0FFO-1849-JAN18-004-003
,19890,,"June 15, 1848","London, Thursday, June 15, 1848.",91.22,0FFO-1848-JUN15-004-002
,20454,,"April 4, 1850",The Expected Great Comet.,87.43,0FFO-1850-APR04-005-002
,20086,,"January 30, 1849","London, Tuesday, January 30, 1849.",93.53,0FFO-1849-JAN30-004-002
,17595,,"February 16, 1841",Curious Coincidence.-The Two Johns Frost.,88.03,0FFO-1841-FEB16-006-002
,17265,,"January 28, 1840",FLOODS.-The late rains caused repeated floods at,83.33,0FFO-1840-JAN28-007-009
,20787,,"April 28, 1851",Rotation Of The Earth.,82.97,0FFO-1851-APR28-005-010
,18183,,"January 3, 1843",News in Brief,83.37,0FFO-1843-JAN03-006-014
,20383,,"January 11, 1850",To The Editor Of The Times.,84.6,0FFO-1850-JAN11-004-011
,19084,,"November 18, 1845",Present Political State Of The World.,81.14,0FFO-1845-NOV18-005-007
,18322,,"June 14, 1843",We have received by our ordinary express the Pa-,83.33,0FFO-1843-JUN14-006-003
,20985,,"December 15, 1851","London, Monday, December 15, 1851.",87.3,0FFO-1851-DEC15-004-002
,20597,,"September 18, 1850","London, Wednesday, September 18, 1858.",90.58,0FFO-1850-SEP18-004-004
,20185,,"May 25, 1849",The period which has elapsed in the eventful his-,84.93,0FFO-1849-MAY25-005-004
,23761,,"October 26, 1860","London, Friday, October 26, 1860.",85.07,0FFO-1860-OCT26-006-002
,21671,,"February 22, 1854",Austria.,80.33,0FFO-1854-FEB22-009-005
,20783,,"April 23, 1851","London, Wednesday, April 23, 1851.",94.3,0FFO-1851-APR23-004-002
,23724,,"September 13, 1860",It is probable that the course of events in Italy,87.78,0FFO-1860-SEP13-008-003
,20148,,"April 12, 1849","London, Thursday, April 12, 1849.",88.31,0FFO-1849-APR12-004-003
,18677,,"August 1, 1844","The Paris papers of Tuesday, which have reached us",96,0FFO-1844-AUG01-006-002
,20825,,"June 11, 1851","London, Wednesday, June 11, 1851.",94.29,0FFO-1851-JUN11-004-002
,19894,,"June 20, 1848",Austria.,84.04,0FFO-1848-JUN20-008-005
,19878,,"June 1, 1848",The principal states of continental Europe which,93.38,0FFO-1848-JUN01-004-004
,20865,,"July 28, 1851",The difficulties of government are changed but,89.93,0FFO-1851-JUL28-004-003
,23715,,"September 3, 1860","London, Monday, September 3, 1860.",88.12,0FFO-1860-SEP03-006-002
,20061,,"January 1, 1849","London, Monday, January 1, 1849.",88.73,0FFO-1849-JAN01-004-002
,18627,,"June 4, 1844",Last night the old subject of the sugar duties,93.2,0FFO-1844-JUN04-005-003
,20266,,"August 28, 1849","London, Tuesday, August 28, 1849.",84.87,0FFO-1849-AUG28-004-002
,18821,,"January 15, 1845",Mexico.,87.18,0FFO-1845-JAN15-006-001
,17914,,"February 23, 1842",The course of contemporary history in Portugal,88.19,0FFO-1842-FEB23-004-010
,20505,,"June 3, 1850",The Papal States.,82.56,0FFO-1850-JUN03-006-002
,19841,,"April 19, 1848",Whilst the French are indisputably entitled to the,88.53,0FFO-1848-APR19-004-004
,18857,,"February 26, 1845",The democratic confederation which exists in the,91.43,0FFO-1845-FEB26-005-003
,20000,,"October 21, 1848",The vote of confidence of the French National,86.5,0FFO-1848-OCT21-004-003
,19994,,"October 14, 1848","London, Saturday, October 14, 1848.",93.14,0FFO-1848-OCT14-004-002
,19033,,"September 19, 1845",The Condition of the People of Ireland.,91.43,0FFO-1845-SEP19-006-001
,23749,,"October 12, 1860",France And Italy.,90.87,0FFO-1860-OCT12-007-006
,23649,,"June 18, 1860",News in Brief,85,0FFO-1860-JUN18-009-002
,19924,,"July 25, 1848",News in Brief,91.6,0FFO-1848-JUL25-008-008
,22743,,"July 27, 1857",France.,81.78,0FFO-1857-JUL27-009-003
,20981,,"December 10, 1851","London, Wednesday, December 10, 1851.",90.94,0FFO-1851-DEC10-004-002
,21823,,"August 18, 1854","London, Friday, August 18, 1854.",92.59,0FFO-1854-AUG18-006-002
,19918,,"July 18, 1848",The public proceedings of the National Assembly,81.57,0FFO-1848-JUL18-004-004
,20646,,"November 14, 1850",It is not yet three years since an unexplained,82.43,0FFO-1850-NOV14-004-004
,20816,,"May 31, 1851",The Duke of SALDANHA reached Lisbon on the,93.66,0FFO-1851-MAY31-004-008
,18426,,"October 13, 1843","London, Friday, October 13, 1843.",93.45,0FFO-1843-OCT13-004-002
,17848,,"December 8, 1841","London, Wednesday, December 8, 1841.",92.64,0FFO-1841-DEC08-004-003
,17737,,"July 31, 1841",We have received by our ordinary express the,89.04,0FFO-1841-JUL31-004-004
,19239,,"May 18, 1846",The Siécle corroborates our late accounts from,93.48,0FFO-1846-MAY18-005-004
,19884,,"June 8, 1848",The River Plate.,80.8,0FFO-1848-JUN08-006-018
,21101,,"April 28, 1852","London, Wednesday, April 28, 1852.",87.13,0FFO-1852-APR28-004-006
,20132,,"March 24, 1849",The incidents which have occurred within the last,86.12,0FFO-1849-MAR24-005-002
,20176,,"May 15, 1849",If at the outset of the present contest between the,86.94,0FFO-1849-MAY15-005-003
,23199,,"January 10, 1859","London, Monday, January 10, 1859.",89.53,0FFO-1859-JAN10-006-002
,20169,,"May 7, 1849",The festival of the 4th of May has not only cele-,84.59,0FFO-1849-MAY07-004-004
,20421,,"February 25, 1850","London, Monday, February, 25, 1850.",91.63,0FFO-1850-FEB25-004-002
,20482,,"May 7, 1850",A stranger to the affairs of this distracted planet,91.02,0FFO-1850-MAY07-004-004
,21035,,"February 11, 1852",It is characteristic of the present state of France,87.67,0FFO-1852-FEB11-005-002
,20083,,"January 26, 1849","London, Friday, January 26 1849.",91.55,0FFO-1849-JAN26-004-003
,20545,,"July 19, 1850",The applause with which the great European,92.92,0FFO-1850-JUL19-004-004
,20260,,"August 21, 1849","The general aspect of affairs in Germany, and the",82.12,0FFO-1849-AUG21-004-004
,19901,,"June 28, 1848",News in Brief,88.76,0FFO-1848-JUN28-006-004
,19884,,"June 8, 1848",It gives us really the greatest concern that we,86.39,0FFO-1848-JUN08-004-005
,20977,,"December 5, 1851","London, Friday, December 5, 1851.",88.91,0FFO-1851-DEC05-004-002
,22490,,"October 4, 1856",The Pacific.,90.81,0FFO-1856-OCT04-008-003
,22528,,"November 18, 1856",Louis Philippe And The King Of Naples.,87.75,0FFO-1856-NOV18-010-001
,23049,,"July 19, 1858",The Pacific.,86.67,0FFO-1858-JUL19-010-006
,19180,,"March 10, 1846",Affairs Of Mexico.,86.02,0FFO-1846-MAR10-006-005
,21562,,"October 18, 1853","History Of The Greek Revolution, by M. Tricoupi.",81.51,0FFO-1853-OCT18-007-001
,18669,,"July 23, 1844",Our private letter from Constantinople of the 3d,95.83,0FFO-1844-JUL23-007-002
,17695,,"June 12, 1841","The Courts Of Europe At The Close Of The Last Century. By The Late Henry Swinburne, Esq.",82.22,0FFO-1841-JUN12-007-004
,20820,,"June 5, 1851",Latest Intelligence.,86.44,0FFO-1851-JUN05-005-001
,17508,,"November 6, 1840",To The Editor Of The Times.,83.74,0FFO-1840-NOV06-003-009
,19988,,"October 7, 1848",The Prospects Of Great Britain And Ireland.,82.8,0FFO-1848-OCT07-008-009
,19901,,"June 28, 1848",The German Parliament.,86.25,0FFO-1848-JUN28-007-002
,20030,,"November 25, 1848",In addition to the instructive lessons which are,89.05,0FFO-1848-NOV25-004-003
,21103,,"April 30, 1852",Lord GRANVILLE in the House of Lords last,87.56,0FFO-1852-APR30-005-002
,20377,,"January 4, 1850",The Revolt In Hungary.,85.07,0FFO-1850-JAN04-006-005
,21393,,"April 4, 1853",Our Indian correspondence has confirmed in all,89.17,0FFO-1853-APR04-004-004
,18094,,"September 21, 1842",Our advices from Vienna of the 12th announce,97.73,0FFO-1842-SEP21-004-008
,19822,,"March 28, 1848",News in Brief,83.47,0FFO-1848-MAR28-005-002
,20374,,"January 1, 1850","London, Tuesday, January 1, 1850.",85.84,0FFO-1850-JAN01-004-002
,20395,,"January 25, 1850","London, Friday, January 25, 1850.",92.18,0FFO-1850-JAN25-004-002
,19806,,"March 9, 1848",We beg to assure our neighbours on the banks,82.36,0FFO-1848-MAR09-004-003
,22420,,"July 15, 1856","There is no State in Europe that can dispute, or",90.92,0FFO-1856-JUL15-009-001
,21412,,"April 26, 1853",We have long abstained from introducing to the,90.22,0FFO-1853-APR26-005-006
,20469,,"April 22, 1850","London, Monday, April 22, 1850.",87.29,0FFO-1850-APR22-004-002
,19096,,"December 2, 1845",A Principle And No Parties.,83.44,0FFO-1845-DEC02-002-002
,19087,,"November 21, 1845","London, Friday, November 21, 1845.",90.14,0FFO-1845-NOV21-004-002
,19814,,"March 18, 1848","The language of revolutions, dictatorships, and",85.97,0FFO-1848-MAR18-004-004
,23760,,"October 25, 1860",Reuter's Telegrams.,89.17,0FFO-1860-OCT25-007-005
,20001,,"October 23, 1848","London, Monday, October 23, 1848.",87.75,0FFO-1848-OCT23-004-002
,23311,,"May 20, 1859",The Pacific.,92.76,0FFO-1859-MAY20-009-002
,19197,,"March 30, 1846",The Insurrection In Poland.,84.31,0FFO-1846-MAR30-003-013
,19031,,"September 17, 1845","Our Athens correspondent writes on the 30th ult.,",91.84,0FFO-1845-SEP17-005-006
,19796,,"February 26, 1848","London, Saturday, February 26, 1848.",89.53,0FFO-1848-FEB26-005-002
,19988,,"October 7, 1848",News in Brief,92.07,0FFO-1848-OCT07-006-007
,20017,,"November 10, 1848","London, Friday, November 10, 1848.",90.01,0FFO-1848-NOV10-004-002
,20903,,"September 10, 1851",To The Editor Of The Times.,87.35,0FFO-1851-SEP10-005-005
,19809,,"March 13, 1848","A foolish and, we must add, impertinent state-",93.48,0FFO-1848-MAR13-004-005
,22653,,"April 13, 1857",To The Editor Of The Times.,91.09,0FFO-1857-APR13-010-008
,19864,,"May 16, 1848",Latest Intelligence.,88.88,0FFO-1848-MAY16-005-004
,18145,,"November 19, 1842",Our private letters from Vienna of the 9th inst.,89.58,0FFO-1842-NOV19-004-008
,19920,,"July 20, 1848","Dublin and Drogheda, with their counties, and",84.63,0FFO-1848-JUL20-004-005
,18815,,"January 8, 1845",Money-Market and City Intelligence.,91.14,0FFO-1845-JAN08-003-002
,19919,,"July 19, 1848",For 32 years France has been the scene and the,84.19,0FFO-1848-JUL19-004-005
,23004,,"May 27, 1858","London, Thursday, May 27, 1858.",93.38,0FFO-1858-MAY27-008-002
,20330,,"November 10, 1849","Mr. JEFFERSON is recorded to have exclaimed, in",84.03,0FFO-1849-NOV10-004-004
,19797,,"February 28, 1848",The 24th of February is a day which will hence-,81.85,0FFO-1848-FEB28-004-004
,19828,,"April 4, 1848",A single month has passed away since we followed in,88.08,0FFO-1848-APR04-004-003
,20922,,"October 2, 1851","London, Thursday, October 2, 1851.",92.36,0FFO-1851-OCT02-004-002
,20673,,"December 31, 1849","London, Monday, December 31.1849.",87.36,0FFO-1849-DEC31-004-002
,21847,,"September 15, 1854",Sardinia.,86.93,0FFO-1854-SEP15-007-005
,19372,,"October 20, 1846",We have received advices from Lisbon up to the,97.83,0FFO-1846-OCT20-004-006
,19997,,"October 18, 1848",What are our prospects for the winter? The ex-,93.83,0FFO-1848-OCT18-004-003
,20775,,"April 14, 1851","London, Monday, April 14, 1851.",94.32,0FFO-1851-APR14-004-002
,20390,,"January 19, 1850","London, Saturday, January 19, 1850.",92.86,0FFO-1850-JAN19-004-004
,20430,,"March 7, 1850",Before the close of the present month of March,91.43,0FFO-1850-MAR07-004-003
,20285,,"September 19, 1849","London, Wednesday, September 19, 1849.",89.97,0FFO-1849-SEP19-004-003
,18846,,"February 13, 1845",On Tuesday night Sir JAMES GRAHAM introduced,88.24,0FFO-1845-FEB13-004-003
,19850,,"April 29, 1848","M. MICHELET, as everybody knows, has been com-",90.63,0FFO-1848-APR29-004-003
,20609,,"October 2, 1850","London, Wednesday, October 2, 1850.",92.21,0FFO-1850-OCT02-004-004
,20182,,"May 22, 1849",To describe the result of the French election in,88.98,0FFO-1849-MAY22-005-002
,19647,,"September 6, 1847","London, Monday, September 6, 1847.",90.97,0FFO-1847-SEP06-004-002
,19850,,"April 29, 1848",To The Editor Of The Times.,86.15,0FFO-1848-APR29-002-003
,17243,,"January 4, 1840","The Maypo, Captain SEYMOUR, arrived at Liver-",86.67,0FFO-1840-JAN04-004-003
,19990,,"October 10, 1848","London, Tuesday, October 10, 1848.",94.23,0FFO-1848-OCT10-004-002
,21019,,"January 23, 1852","London, Friday, January 23, 1852.",91.43,0FFO-1852-JAN23-004-002
,20254,,"August 14, 1849","London, Tuesday, August 14, 1849.",92.54,0FFO-1849-AUG14-004-002
,22738,,"July 21, 1857",Miss Jessie M. J. White.,84.7,0FFO-1857-JUL21-005-005
,21282,,"November 25, 1852",Convocation.,88.38,0FFO-1852-NOV25-008-006
,23567,,"March 14, 1860",Austria.,82.94,0FFO-1860-MAR14-010-003
,22341,,"April 14, 1856",The Moon's Motion.,86.13,0FFO-1856-APR14-011-012
,20358,,"December 13, 1849",Austria.,88.73,0FFO-1849-DEC13-007-005
,17546,,"December 21, 1840",The accounts just received from the Peninsula,86.74,0FFO-1840-DEC21-004-004
,19911,,"July 10, 1848","Undoubtedly, the Reform Act was a great experi-",86.47,0FFO-1848-JUL10-004-004
,23047,,"July 16, 1858",Central Of France Exhibition.,81.02,0FFO-1858-JUL16-010-004
,18756,,"October 31, 1844",To The Editor Of The Times.,83.79,0FFO-1844-OCT31-006-012
,18726,,"September 26, 1844",Our accounts from Madrid are of the 18th instant.,89.8,0FFO-1844-SEP26-005-002
,23612,,"May 5, 1860",America.,84.85,0FFO-1860-MAY05-009-007
,20008,,"October 31, 1848",Latest Intelligence.,89.45,0FFO-1848-OCT31-005-006
,19675,,"October 8, 1847",The West India Mail.,81.77,0FFO-1847-OCT08-005-002
,20686,,"December 31, 1850",Carlyle's Latter-Day Pamphlets.,86.1,0FFO-1850-DEC31-007-001
,19250,,"May 30, 1846",Our accounts from Madrid are of the 23d inst.,84.44,0FFO-1846-MAY30-005-002
,20995,,"December 26, 1851",News in Brief,80.1,0FFO-1851-DEC26-005-001
,17715,,"July 6, 1841",News in Brief,83.28,0FFO-1841-JUL06-006-002
,18677,,"August 1, 1844",India And China.,90.35,0FFO-1844-AUG01-006-009
,17920,,"March 2, 1842",Our Madrid correspondence of the 21st ult. an-,93.48,0FFO-1842-MAR02-005-009
,20006,,"October 28, 1848",Latest From Paris.,85.19,0FFO-1848-OCT28-004-009
,19364,,"October 10, 1846",IS France A Nation Or A Dynasty?,88.33,0FFO-1846-OCT10-005-007
,19267,,"June 19, 1846",The Duke of Richmond is a serious man. When,88.54,0FFO-1846-JUN19-004-003
,20111,,"February 28, 1849",Latest From Paris.,90.94,0FFO-1849-FEB28-005-001
,21021,,"January 26, 1852",Thf French Invasion.,80.26,0FFO-1852-JAN26-008-001
,20304,,"October 11, 1849","London, Thursday, October 11, 1849.",91.41,0FFO-1849-OCT11-004-002
,22986,,"May 6, 1858",No measure of the present century can be,90.62,0FFO-1858-MAY06-008-005
,23296,,"May 3, 1859",The Pacific.,90.02,0FFO-1859-MAY03-005-007
,20698,,"January 14, 1851",Prussia.,86.88,0FFO-1851-JAN14-006-002
,20538,,"July 11, 1850",France.,82.63,0FFO-1850-JUL11-006-001
,19281,,"July 6, 1846",In the dearth of domestic news with which the,92.75,0FFO-1846-JUL06-004-004
,23746,,"October 9, 1860",Prince JOHN of BOURBON renews his pretensions,90.82,0FFO-1860-OCT09-006-003
,19989,,"October 9, 1848","London, Monday, October 9, 1848.",91.03,0FFO-1848-OCT09-004-002
,20953,,"November 7, 1851",Prussia.,86.59,0FFO-1851-NOV07-005-002
,20196,,"June 7, 1849",Whatever may be thought of the policy of the,83.48,0FFO-1849-JUN07-004-004
,19958,,"September 2, 1848",Turkey,87.51,0FFO-1848-SEP02-006-007
,19863,,"May 15, 1848","London, Monday, May 15, 1848.",83.42,0FFO-1848-MAY15-004-002
,20139,,"April 2, 1849",No foreign event in the varied and astonish-,91.93,0FFO-1849-APR02-004-004
,20698,,"January 14, 1851","London, Tuesday, January 14, 1851.",94.2,0FFO-1851-JAN14-004-002
,19794,,"February 24, 1848",The demonstration and the disturbances which,93.22,0FFO-1848-FEB24-004-005
,22744,,"July 28, 1857","We, the Britons, """"divided from the whole",89.24,0FFO-1857-JUL28-009-004
,20165,,"May 2, 1849",The political state of Germany becomes every day,92.98,0FFO-1849-MAY02-005-001
,18738,,"October 10, 1844",We have received by our ordinary express the,84.62,0FFO-1844-OCT10-004-005
,23776,,"November 13, 1860","London, Tuesday, November 13, 1860.",88.35,0FFO-1860-NOV13-006-002
,20477,,"May 1, 1850","The result of the poll in Paris, as far as it was",94.5,0FFO-1850-MAY01-005-001
,18411,,"September 26, 1843",Spain And Portugal.,80.79,0FFO-1843-SEP26-005-006
,20107,,"February 23, 1849","Count COLLOREDO, the Austrian Envoy, has arrived,",88.76,0FFO-1849-FEB23-005-006
,23783,,"October 29, 1860",Certainly the knot was worthy of the god.,89.1,0FFO-1860-OCT29-006-003
,18796,,"December 17, 1844","London, Tuesday, December 17, 1844.",86.47,0FFO-1844-DEC17-004-002
,23817,,"December 31, 1860",Austria,88.36,0FFO-1860-DEC31-010-008
,23657,,"June 27, 1860",Italy.,86.26,0FFO-1860-JUN27-005-002
,19996,,"October 17, 1848",News in Brief,90.11,0FFO-1848-OCT17-006-006
,20204,,"June 16, 1849",[Advertisement.]-Mr. Colburn has just published the,80.77,0FFO-1849-JUN16-008-010
,21361,,"February 25, 1853",India And China.,80.23,0FFO-1853-FEB25-005-005
,18420,,"October 6, 1843","Letters from Athens of the 19th ult., quoted by",91.49,0FFO-1843-OCT06-004-009
,19892,,"June 17, 1848","Court Of Chancery Westminster, June 16.",83.21,0FFO-1848-JUN17-007-005
,20190,,"May 31, 1849",Alison's History Of Europe.*,87.2,0FFO-1849-MAY31-006-006
,19869,,"May 22, 1848",Germany.,82.55,0FFO-1848-MAY22-005-005
,20720,,"February 8, 1851",The Papal States.,86.71,0FFO-1851-FEB08-006-002
,18989,,"July 30, 1845",The Affairs Of Mexico.,85.12,0FFO-1845-JUL30-006-003
,19995,,"October 16, 1848",We have received from a private source some par-,93.62,0FFO-1848-OCT16-004-003
,23245,,"March 4, 1859",The South American Republics.,85.68,0FFO-1859-MAR04-010-006
,17588,,"February 8, 1841",Can the Ministers imagine it possible that the,94.07,0FFO-1841-FEB08-004-006
,19990,,"October 10, 1848",State Of Germanny.,84.42,0FFO-1848-OCT10-003-002
,19296,,"July 23, 1846",In animadverting upon the extraordinary proceed-,94.05,0FFO-1846-JUL23-004-005
